Time,AllPoints
45412.530223,33
45412.530269,33
45412.530315,34
45412.530362,37
45412.530408,39
45412.530454,40
45412.530500,42
45412.530547,45
45412.530593,47
45412.530639,50
45412.530686,53
45412.530732,53
45412.530779,55
45412.530825,57
45412.530871,57
45412.530917,57
45412.530963,57
45412.531010,57
45412.531056,57
45412.531102,57
45412.531149,57
45412.531195,57
45412.531241,57
45412.531288,57
45412.531334,57
45412.531380,57
45412.531426,57
45412.531473,57
45412.531519,57
45412.531565,57
45412.531612,57
45412.531658,57
45412.531704,57
45412.531750,57
45412.531797,57
45412.531843,57
45412.531889,57
45412.531936,57
45412.531982,57
45412.532028,57
45412.532075,57
45412.532122,57
45412.532167,57
45412.532213,57
45412.532260,57
45412.532306,57
45412.532352,57
45412.532399,57
45412.532445,57
45412.532491,57
45412.532538,57
